index,id,release_date,production_budget,worldwide_gross,genre_ids
Baywatch,86,2017,60000000,175863783,Comedy
Beastly,87,2011,17000000,38028230,Drama
Beastly,87,2011,17000000,38028230,Fantasy
Beastly,87,2011,17000000,38028230,Romance
Beastly,87,2011,17000000,38028230,Science Fiction
Beasts of the Southern Wild,18,2012,1800000,23265132,Drama
Beasts of the Southern Wild,18,2012,1800000,23265132,Fantasy
Beasts of the Southern Wild,18,2012,1800000,23265132,Adventure
Beautiful,1,2000,9000000,3134509,Horror
Beautiful,1,2000,9000000,3134509,Romance
Beautiful,1,2000,9000000,3134509,Thriller
Beautiful Boy,95,2018,25000000,13031424,Drama
Beautiful Boy,95,2018,25000000,13031424,Drama
Beautiful Creatures,85,2013,50000000,60282876,Fantasy
Beautiful Creatures,85,2013,50000000,60282876,Drama
Beautiful Creatures,85,2013,50000000,60282876,Romance
Beauty and the Beast,35,2017,160000000,1259199706,Romance
Beauty and the Beast,35,2017,160000000,1259199706,Family
Beauty and the Beast,35,2017,160000000,1259199706,Animation
Beauty and the Beast,35,2017,160000000,1259199706,Fantasy
Beauty and the Beast,35,2017,160000000,1259199706,Family
Beauty and the Beast,35,2017,160000000,1259199706,Fantasy
Beauty and the Beast,35,2017,160000000,1259199706,Romance
Beauty and the Beast,86,1991,20000000,608431132,Romance
Beauty and the Beast,86,1991,20000000,608431132,Family
Beauty and the Beast,86,1991,20000000,608431132,Animation
Beauty and the Beast,86,1991,20000000,608431132,Fantasy
Beauty and the Beast,86,1991,20000000,608431132,Family
Beauty and the Beast,86,1991,20000000,608431132,Fantasy
Beauty and the Beast,86,1991,20000000,608431132,Romance
Before I Fall,12,2017,5000000,18945682,Drama
Before I Fall,12,2017,5000000,18945682,Mystery
Before I Fall,12,2017,5000000,18945682,Thriller
Before I Fall,12,2017,5000000,18945682,Fantasy
Before I Go to Sleep,49,2014,22000000,19563579,Mystery
Before I Go to Sleep,49,2014,22000000,19563579,Thriller
Before Midnight,99,2013,3000000,23251930,Romance
Before Midnight,99,2013,3000000,23251930,Drama
Before We Go,52,2015,3000000,483938,Drama
Before We Go,52,2015,3000000,483938,Romance
Before We Go,52,2015,3000000,483938,Comedy
Begin Again,91,2014,8000000,68838736,Comedy
Begin Again,91,2014,8000000,68838736,Music
